Token_Number,Layer_0_Compute_ms,Layer_0_IO_ms,Layer_1_Compute_ms,Layer_1_IO_ms,Layer_2_Compute_ms,Layer_2_IO_ms,Layer_3_Compute_ms,Layer_3_IO_ms,Layer_4_Compute_ms,Layer_4_IO_ms,Layer_5_Compute_ms,Layer_5_IO_ms,Layer_6_Compute_ms,Layer_6_IO_ms,Layer_7_Compute_ms,Layer_7_IO_ms,Layer_8_Compute_ms,Layer_8_IO_ms,Layer_9_Compute_ms,Layer_9_IO_ms,Layer_10_Compute_ms,Layer_10_IO_ms,Layer_11_Compute_ms,Layer_11_IO_ms,Layer_12_Compute_ms,Layer_12_IO_ms,Layer_13_Compute_ms,Layer_13_IO_ms,Layer_14_Compute_ms,Layer_14_IO_ms,Layer_15_Compute_ms,Layer_15_IO_ms,Total_Compute_ms,Total_IO_ms,Compute_StdDev,IO_StdDev
1,5.2991,150.1749,5.1663,0.3061,5.2216,0.2940,5.3506,0.3133,5.8250,0.2973,5.2209,0.2966,5.5885,0.2954,5.3892,0.2906,5.3523,0.3049,5.3329,0.2997,6.1877,0.4809,6.0985,0.3669,5.2912,0.2940,5.4305,0.3152,6.1374,0.3326,5.6889,0.3226,88.5806,154.9850,0.3359,36.2740
2,0.3440,0.1771,0.3099,0.1907,0.3178,0.1905,0.3192,0.1802,0.3195,0.1864,0.3226,0.1857,0.3185,0.1774,0.3181,0.1841,0.3512,0.2160,0.4761,0.2823,0.4768,0.2708,0.4108,0.2441,0.3519,0.2186,0.3760,0.2034,0.3448,0.1965,0.3335,0.1926,5.6908,3.2966,0.0521,0.0317
3,0.3567,0.2091,0.3579,0.2148,0.4752,0.9496,0.3662,0.2213,0.3498,0.1988,0.3495,0.1900,0.3457,0.2050,0.3419,0.1986,0.4025,0.9871,0.4532,0.2017,0.3405,0.1960,0.3345,0.1841,0.3362,0.1872,0.3529,0.2036,0.3312,0.1869,0.3295,0.1810,5.8231,4.7147,0.0416,0.2549
4,0.7544,0.1884,0.3505,0.2046,0.4089,0.2005,0.4249,0.2441,0.3462,0.1934,0.3386,0.1876,0.4089,0.2046,0.3541,0.2141,0.3812,0.2236,0.3531,0.1967,0.3388,0.1910,0.3474,0.1962,0.3357,0.1893,0.3345,0.1848,0.3335,0.1934,0.3395,0.1862,6.1500,3.1984,0.0998,0.0153
5,0.3698,0.1955,0.3901,0.3443,0.5693,0.2613,0.3555,0.1981,0.3510,0.1965,0.3390,0.1915,0.3572,0.1986,0.5295,0.3755,0.3455,0.1986,0.3366,0.1979,0.3314,0.1955,0.3617,0.2184,0.3400,0.1857,0.3467,0.1917,0.3402,0.1912,0.3459,0.1945,6.0093,3.5348,0.0675,0.0555
6,0.6034,0.3152,0.3526,0.2050,0.5372,0.2155,0.3700,0.2100,0.3533,0.2053,0.3629,0.2036,0.3462,0.1886,0.3672,0.2158,0.3510,0.2015,0.3476,0.2084,0.3395,0.1969,0.3304,0.1817,0.3407,0.1991,0.3443,0.1900,0.3383,0.1881,0.3362,0.1988,6.0208,3.3236,0.0750,0.0293
7,0.3581,0.1872,0.3457,0.2744,0.5641,0.3989,0.3636,0.2065,0.3414,0.1953,0.3514,0.1988,0.3440,0.1934,0.3591,0.2172,0.3414,0.1981,0.3471,0.1976,0.3521,0.1943,0.3474,0.2077,0.3474,0.1938,0.3459,0.1864,0.3393,0.1917,0.3433,0.1931,5.7914,3.4344,0.0526,0.0516
8,0.5436,0.3784,0.3579,0.2098,0.5636,0.4108,0.3512,0.1979,0.3638,0.2160,0.3498,0.2005,0.3417,0.1953,0.3428,0.1917,0.3417,0.1998,0.3500,0.1974,0.3419,0.1953,0.3343,0.1864,0.3328,0.1867,0.3614,0.1833,0.3381,0.1950,0.3328,0.1912,5.9474,3.5355,0.0695,0.0663
9,0.3567,0.1900,0.3595,0.2134,0.5310,0.2148,0.3579,0.1967,0.3703,0.2060,0.3657,0.1912,0.3440,0.1969,0.3946,0.2573,0.3600,0.2055,0.3719,0.2027,0.3583,0.2079,0.4253,0.2413,0.3414,0.1969,0.3417,0.1898,0.3459,0.1874,0.3324,0.1929,5.9566,3.2907,0.0464,0.0186
10,0.6230,0.3533,0.3786,0.2153,0.6340,0.4365,0.4666,0.2294,0.5710,0.3114,0.5486,0.2801,0.3989,0.2367,0.4082,0.2315,0.3700,0.2100,0.3774,0.2074,0.3545,0.1960,0.3469,0.1984,0.3507,0.1888,0.3409,0.1953,0.3312,0.1907,0.3319,0.1864,6.8324,3.8674,0.1033,0.0682
11,0.7107,0.3777,0.3581,0.2229,0.5496,0.3769,0.3548,0.2086,0.3502,0.2003,0.3607,0.2124,0.3560,0.1953,0.3471,0.1950,0.3424,0.2074,0.3428,0.1938,0.3517,0.1941,0.3448,0.1898,0.3436,0.1900,0.3395,0.1907,0.3548,0.1976,0.3479,0.1950,6.1545,3.5477,0.0972,0.0595
